id,edad,sexo,entidad,escolaridad,zona,age_group,lengua_indigena,discapacidad,FE,educacion,ocupacion_semana_pasada,ocupacion_otra,relacion_jefe_hogar,relacion_jefe_otro,edad_jefe_hogar,sexo_jefe_hogar,sexo_jefe_otro,educacion_jefe_hogar,educacion_jefe_otro,personas_hogar,banos_completos,autos_hogar,internet_hogar,trabajaron_ultimo_mes,cuartos_dormir,discapacidad_largo_plazo,localidad_rural_urbana,localidad_otra,q_frase_voto1,q_frase_politicos,q_voto_insuficiente,q_otras_formas,q_politicos_preocupan,q_partidos_beneficio,q_acciones_cambio,q_redes_informarse,q_redes_emociones,q_ideologia,q_evita_hablar,q_gusto_hablar
1277,19,Mujer,Quintana Roo,Primaria,Urbana,18-24,No,No,125020.89,Preparatoria completa,Trabajó con pago,,Padre o madre,,53.0,Hombre,,Primaria completa,,11,Uno,Uno,Sí,5 o más,2,No,Urbana,,Votar no sirve para nada,Creo en la política y en los políticos,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ninguna,No,En desacuerdo
1280,53,Mujer,Nuevo León,Licenciatura o Ingeniería,Urbana,45-59,No,No,56476.41,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Uno,Sí,No sabe/No responde,No sabe/No responde,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ninguna,Sí,De acuerdo
1281,56,Mujer,Nuevo León,Primaria,Rural,45-59,No,No,136903.01,Licenciatura completa,Trabajó sin pago,,Cónyuge o pareja,,49.0,Hombre,,Primaria completa,,4,2 o más,2 o más,Sí,3,3,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No,En desacuerdo
1281,49,Hombre,Quintana Roo,Secundaria,Urbana,45-59,No,No,71896.88,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,3,2,No,Urbana,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Centro,No,En desacuerdo
1282,63,Mujer,Guerrero,Preparatoria o bachillerato,Urbana,60+,No,No,73632.78,Preparatoria completa,No sabe/No responde,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,No sabe/No responde,No sabe/No responde,No por falta de recursos,1,1,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,No,De acuerdo
1284,26,Hombre,Ciudad de México,Secundaria,Urbana,25-34,No,No,103553.46,Licenciatura completa,Trabajó con pago,,Hijo o hija,,49.0,No sabe/No responde,,Secundaria completa,,4,2 o más,2 o más,Sí,3,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Derecha,No,De acuerdo
1290,40,Hombre,Guerrero,Primaria,Urbana,35-44,No,No,103252.7,Secundaria incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Ninguno,Ninguno,Sí,1,1,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Izquierda,Sí,En desacuerdo
1291,59,Mujer,Nuevo León,Licenciatura o Ingeniería,Urbana,45-59,No,No,56476.41,Carrera comercial,Vendía o hacía algún producto para vender,,Cónyuge o pareja,,65.0,Hombre,,Licenciatura completa,,5,Uno,2 o más,Sí,5 o más,4,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,Sí,De acuerdo
1292,54,Hombre,Guerrero,Secundaria,Urbana,45-59,Sí,No,64133.6,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Ninguno,No por falta de recursos,2,No sabe/No responde,No,Urbana,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Izquierda,Sí,De acuerdo
1293,40,Mujer,Nuevo León,Preparatoria o bachillerato,Urbana,35-44,No,No,69657.41,Preparatoria completa,Vendía o hacía algún producto para vender,,Cónyuge o pareja,,38.0,Hombre,,Preparatoria completa,,5,Uno,Ninguno,Sí,1,2,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,No,En desacuerdo
1293,35,Mujer,Hidalgo,Preparatoria o bachillerato,Rural,35-44,Sí,No,53732.59,Preparatoria completa,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Ninguno,Ninguno,No por falta de recursos,1,1,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No sabe/No responde,No sabe/No responde,Ninguna,Sí,De acuerdo
