id,edad,sexo,entidad,escolaridad,zona,age_group,lengua_indigena,discapacidad,FE,educacion,ocupacion_semana_pasada,ocupacion_otra,relacion_jefe_hogar,relacion_jefe_otro,edad_jefe_hogar,sexo_jefe_hogar,sexo_jefe_otro,educacion_jefe_hogar,educacion_jefe_otro,personas_hogar,banos_completos,autos_hogar,internet_hogar,trabajaron_ultimo_mes,cuartos_dormir,discapacidad_largo_plazo,localidad_rural_urbana,localidad_otra,q_frase_voto1,q_frase_politicos,q_voto_insuficiente,q_otras_formas,q_politicos_preocupan,q_partidos_beneficio,q_acciones_cambio,q_redes_informarse,q_redes_emociones,q_ideologia,q_evita_hablar,q_gusto_hablar
9,36,Hombre,Aguascalientes,Maestría o especialidad,Urbana,35-44,No,No,26965.12,Diplomado o maestría,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,2 o más,Sí,2,2,No,Urbana,,Votar no sirve para nada,No creo en la política ni en los políticos,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,No,De acuerdo
9,71,Mujer,Chihuahua,Secundaria,Urbana,60+,No,Sí,109271.09,Secundaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,2 o más,2 o más,Sí,1,2,Sí,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,No sabe/No responde,Ni de acuerdo ni en desacuerdo,Ninguna,Sí,En desacuerdo
14,26,Mujer,Chihuahua,No sabe o no responde,Rural,25-34,No,No,56664.66,Licenciatura completa,Trabajó con pago,,No sabe/No responde,,0.0,No sabe/No responde,,No sabe/No responde,,5,Uno,Uno,Sí,2,2,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No sabe/No responde,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,No sabe/No responde,En desacuerdo,En desacuerdo,Centro,Sí,En desacuerdo
14,66,Mujer,Coahuila,Preparatoria o bachillerato,Rural,60+,No,No,80066.82,Primaria incompleta,Vendía o hacía algún producto para vender,,Cónyuge o pareja,,67.0,Hombre,,Licenciatura incompleta,,3,Uno,Ninguno,No por falta de recursos,1,1,No,Rural,,Votar no sirve para nada,No creo en la política ni en los políticos,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Izquierda,Sí,En desacuerdo
17,32,Hombre,Aguascalientes,Preparatoria o bachillerato,Rural,25-34,No,No,79871.64,Licenciatura completa,Trabajó con pago,,Padre o madre,,70.0,Hombre,,Licenciatura incompleta,,3,Uno,Uno,Sí,2,2,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",Creo en la política y en los políticos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Derecha,No,De acuerdo
19,35,Hombre,Aguascalientes,Carrera técnica o comercial,Urbana,35-44,No,No,78913.0,Carrera técnica,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,2 o más,Sí,2,2,No,Urbana,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Derecha,Sí,En desacuerdo
20,19,Hombre,Coahuila,Preparatoria o bachillerato,Urbana,18-24,No,No,67395.51,Secundaria incompleta,Trabajó con pago,,Hijo o hija,,38.0,Mujer,,Preparatoria completa,,5,Uno,2 o más,Sí,5 o más,3,No,Urbana,,Votar no sirve para nada,Creo en la política y en los políticos,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ninguna,No,En desacuerdo
21,58,Hombre,Jalisco,Secundaria,Urbana,45-59,No,No,80101.41,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,8,2 o más,Uno,Sí,4,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,No,De acuerdo
22,61,Hombre,Aguascalientes,Secundaria,Urbana,60+,No,No,76402.21,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Uno,Sí,5 o más,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,No,De acuerdo
28,35,Hombre,Oaxaca,Primaria,Rural,35-44,No,Sí,102738.04,Primaria completa,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Ninguno,Ninguno,No por falta de recursos,1,4,Sí,Rural,,Votar no sirve para nada,"Creo en la política, pero no en los políticos",En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No,En desacuerdo
32,66,Mujer,Aguascalientes,No estudió/ Otro,Rural,60+,No,Sí,59867.26,Primaria incompleta,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,No sabe/No responde,No por falta de recursos,Ninguno,2,Sí,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",Creo en la política y en los políticos,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,No sabe/No responde,No sabe/No responde,Izquierda,No,No sabe/No responde
33,48,Mujer,Jalisco,Maestría o especialidad,Urbana,45-59,No,No,27781.21,Diplomado o maestría,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,2,2,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Izquierda,No,De acuerdo
38,52,Hombre,Aguascalientes,Secundaria,Urbana,45-59,No,No,83930.04,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,6,Uno,Uno,Sí,2,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Centro,No,De acuerdo
43,54,Mujer,Aguascalientes,Secundaria,Urbana,45-59,No,No,106407.11,Preparatoria incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,Uno,Sí,2,2,No,Urbana,,Con el voto decido lo que pasa en el país,Creo en la política y en los políticos,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Izquierda,Sí,De acuerdo
46,52,Hombre,Jalisco,Secundaria,Urbana,60+,No,Sí,72916.97,Secundaria completa,[Esp.] No podía buscar trabajo,,Hijo o hija,,74.0,Hombre,,Secundaria completa,,1,Uno,Ninguno,No por falta de recursos,Ninguno,1,Sí,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,No sabe/No responde,De acuerdo,Derecha,Sí,En desacuerdo
46,47,Mujer,Chihuahua,Secundaria,Urbana,45-59,No,No,96199.15,Secundaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Ninguno,Sí,2,2,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Centro,Sí,De acuerdo
51,56,Mujer,Aguascalientes,Maestría o especialidad,Urbana,45-59,No,No,29109.08,Diplomado o maestría,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,2 o más,2 o más,Sí,2,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Izquierda,Sí,En desacuerdo
51,34,Hombre,Coahuila,Secundaria,Urbana,25-34,No,No,83242.26,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,2 o más,Sí,Ninguno,3,No,Urbana,,Con el voto decido lo que pasa en el país,Creo en la política y en los políticos,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Centro,No,De acuerdo
54,23,Mujer,Aguascalientes,Secundaria,Urbana,18-24,No,No,106463.64,Preparatoria completa,Trabajó con pago,,Hijo o hija,,45.0,Mujer,,Secundaria completa,,6,Uno,Ninguno,Sí,4,5 o más,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No,De acuerdo
55,25,Hombre,Oaxaca,Secundaria,Urbana,25-34,Sí,No,76171.46,Secundaria completa,Vendía o hacía algún producto para vender,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Ninguno,No por falta de recursos,1,2,No,Urbana,,Votar no sirve para nada,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,No sabe/No responde,No sabe/No responde,Derecha,Sí,En desacuerdo
55,18,Hombre,Chihuahua,Preparatoria o bachillerato,Rural,18-24,No,No,73330.05,Preparatoria completa,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Uno,Sí,1,2,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Derecha,Sí,En desacuerdo
56,44,Mujer,Chihuahua,Carrera técnica o comercial,Urbana,35-44,No,No,67378.26,Licenciatura completa,Trabajó con pago,,Cónyuge o pareja,,49.0,Hombre,,Carrera técnica,,5,2 o más,2 o más,Sí,3,3,No,Urbana,,Con el voto decido lo que pasa en el país,Creo en la política y en los políticos,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Izquierda,No,De acuerdo
57,39,Hombre,Chihuahua,Licenciatura o Ingeniería,Rural,35-44,No,No,50395.06,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,2 o más,Sí,2,2,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ninguna,Sí,En desacuerdo
58,21,Hombre,Oaxaca,No estudió/ Otro,Rural,18-24,No,No,38314.73,Secundaria completa,Vendía o hacía algún producto para vender,,Padre o madre,,55.0,Mujer,,Primaria incompleta,,4,Uno,Ninguno,Sí,Ninguno,3,No,Rural,,Con el voto decido lo que pasa en el país,No creo en la política ni en los políticos,No sabe/No responde,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,No sabe/No responde,No,No sabe/No responde
60,24,Hombre,Oaxaca,Licenciatura o Ingeniería,Urbana,18-24,No,No,43744.53,Licenciatura completa,Trabajó con pago,,Hijo o hija,,54.0,Mujer,,Licenciatura completa,,4,2 o más,2 o más,Sí,4,4,No,Urbana,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,No,De acuerdo
61,23,Hombre,Coahuila,Licenciatura o Ingeniería,Urbana,18-24,No,No,47805.22,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,Uno,Sí,2,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,Sí,De acuerdo
64,57,Mujer,Oaxaca,No estudió/ Otro,No sabe/No responde,45-59,Sí,No,40073.14,No estudió,"[Esp.] Otra, especifique",campo,Cónyuge o pareja,,64.0,Hombre,,Primaria incompleta,,7,Ninguno,Ninguno,Sí,2,2,No,No sabe/No responde,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,De acuerdo
66,58,Hombre,Chihuahua,Licenciatura o Ingeniería,Urbana,45-59,No,Sí,42910.22,Licenciatura completa,Era jubilado o pensionado(a) (Programa Adultos Mayores),,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,2 o más,Sí,Ninguno,5 o más,Sí,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No,Ni de acuerdo ni en desacuerdo
71,39,Hombre,Oaxaca,Primaria,Rural,35-44,No,No,102738.04,Primaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,2 o más,"No, no lo quieren",1,1,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,No,De acuerdo
72,40,Mujer,Oaxaca,No sabe o no responde,Urbana,35-44,No,No,34050.19,Secundaria completa,Trabajó con pago,,"[Esp.] Otro, especifique",suegra,65.0,Mujer,,No sabe/No responde,,7,Uno,Ninguno,Sí,4,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Izquierda,Sí,Ni de acuerdo ni en desacuerdo
74,58,Mujer,Oaxaca,No sabe o no responde,Urbana,45-59,No,No,38920.19,No sabe/No responde,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Uno,Sí,1,2,No,Urbana,,Votar no sirve para nada,No creo en la política ni en los políticos,De acuerdo,No sabe/No responde,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Izquierda,Sí,De acuerdo
76,34,Hombre,Oaxaca,Licenciatura o Ingeniería,Urbana,25-34,No,No,43075.97,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,2 o más,Ninguno,Sí,1,1,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,Sí,De acuerdo
78,50,Hombre,Oaxaca,Licenciatura o Ingeniería,Urbana,45-59,No,No,36087.62,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,6,2 o más,2 o más,Sí,5 o más,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Izquierda,No,Ni de acuerdo ni en desacuerdo
79,45,Mujer,Oaxaca,Primaria,Rural,45-59,Sí,No,110906.57,Primaria completa,No sabe/No responde,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Uno,Sí,2,2,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ninguna,Sí,En desacuerdo
79,60,Hombre,Chihuahua,Primaria,Rural,60+,No,No,94688.04,Primaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Uno,"No, otra razón",1,3,No,Rural,,Votar no sirve para nada,No sabe/No responde,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No sabe/No responde,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,Sí,En desacuerdo
80,51,Mujer,Oaxaca,Preparatoria o bachillerato,Urbana,45-59,No,No,64501.08,Preparatoria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Ninguno,"No, no lo quieren",1,1,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,De acuerdo
82,54,Mujer,Oaxaca,No estudió/ Otro,No sabe/No responde,45-59,No,No sabe/No responde,40073.14,No estudió,Trabajó sin pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Uno,Sí,2,2,No sabe/No responde,No sabe/No responde,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No sabe/No responde,En desacuerdo,Ninguna,No,De acuerdo
83,47,Hombre,Oaxaca,Preparatoria o bachillerato,Rural,45-59,No,No,50876.1,Licenciatura incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Ninguno,Uno,Sí,Ninguno,2,No,Rural,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,De acuerdo
84,20,Hombre,Oaxaca,Primaria,Rural,18-24,Sí,No,106039.98,Preparatoria incompleta,"[Esp.] Otra, especifique",trabajo en el campo,Hijo o hija,,40.0,Hombre,,Primaria completa,,7,Uno,Uno,No por falta de recursos,2,5 o más,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,Sí,De acuerdo
85,63,Hombre,Oaxaca,Secundaria,Urbana,60+,Sí,No,58090.34,Secundaria completa,Era jubilado o pensionado(a) (Programa Adultos Mayores),,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Uno,Sí,Ninguno,1,No,Urbana,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,No sabe/No responde,De acuerdo,De acuerdo,De acuerdo,Derecha,No,Ni de acuerdo ni en desacuerdo
85,40,Mujer,Coahuila,Preparatoria o bachillerato,No sabe/No responde,35-44,No,No,61668.47,Diplomado o maestría,Trabajó con pago,,Cónyuge o pareja,,60.0,Hombre,,Licenciatura incompleta,,2,2 o más,2 o más,Sí,2,2,No,No sabe/No responde,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ninguna,No,De acuerdo
87,50,Hombre,Chihuahua,Maestría o especialidad,Urbana,45-59,No,No,20757.54,Diplomado o maestría,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,2 o más,2 o más,Sí,2,3,No,Urbana,,Con el voto decido lo que pasa en el país,Creo en la política y en los políticos,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Derecha,Sí,De acuerdo
90,20,Mujer,Oaxaca,Preparatoria o bachillerato,Urbana,18-24,No,No,64535.35,Secundaria completa,Se dedicaba al hogar,,Cónyuge o pareja,,25.0,Hombre,,Preparatoria completa,,3,Ninguno,Ninguno,Sí,1,1,No,Urbana,,Votar no sirve para nada,"Creo en la política, pero no en los políticos",Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ninguna,No,En desacuerdo
91,47,Hombre,Oaxaca,Secundaria,Rural,45-59,No,No,63813.92,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Uno,Sí,2,2,No,Rural,,Votar no sirve para nada,No creo en la política ni en los políticos,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ninguna,Sí,De acuerdo
92,45,Mujer,Oaxaca,Preparatoria o bachillerato,Urbana,45-59,No,No,64501.08,Preparatoria completa,"[Esp.] Otra, especifique",decoradora,Cónyuge o pareja,,45.0,Hombre,,Licenciatura incompleta,,5,2 o más,2 o más,Sí,1,4,No,Urbana,,Votar no sirve para nada,No creo en la política ni en los políticos,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Derecha,Sí,De acuerdo
93,63,Hombre,Oaxaca,Primaria,Urbana,60+,Sí,No,79632.9,Secundaria incompleta,[Esp.] Desempleado,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Ninguno,Sí,2,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Izquierda,No,De acuerdo
96,40,Mujer,Oaxaca,Licenciatura o Ingeniería,Rural,35-44,No,No,40027.27,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,1,2,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,No sabe/No responde,En desacuerdo,No sabe/No responde,Ninguna,Sí,En desacuerdo
97,33,Hombre,Oaxaca,Preparatoria o bachillerato,Rural,25-34,No,No,60728.23,Licenciatura incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,2 o más,Uno,Sí,2,3,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,No,Ni de acuerdo ni en desacuerdo
99,47,Mujer,Oaxaca,Primaria,Rural,45-59,Sí,No,110906.57,Primaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Ninguno,Ninguno,No por falta de recursos,Ninguno,Ninguno,No,Rural,,Votar no sirve para nada,Creo en la política y en los políticos,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ninguna,No,En desacuerdo
99,57,Mujer,Oaxaca,Primaria,Rural,45-59,No,Sí,110906.57,Primaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Ninguno,2 o más,Sí,4,1,Sí,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",No sabe/No responde,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,No sabe/No responde,En desacuerdo,De acuerdo,Ninguna,Sí,De acuerdo
100,67,Mujer,Oaxaca,No estudió/ Otro,Urbana,60+,No,Sí,45518.45,Primaria incompleta,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Ninguno,Sí,Ninguno,1,Sí,Urbana,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,Sí,De acuerdo
102,30,Mujer,Oaxaca,Primaria,Rural,25-34,No,No,135797.57,Primaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Ninguno,Ninguno,No por falta de recursos,Ninguno,2,No,Rural,,Con el voto decido lo que pasa en el país,No creo en la política ni en los políticos,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ninguna,No,En desacuerdo
102,50,Hombre,Oaxaca,Primaria,Rural,45-59,No,Sí,87479.05,Primaria completa,"[Esp.] Otra, especifique",ENFERMO,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Ninguno,Sí,Ninguno,2,Sí,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,Sí,En desacuerdo
104,58,Hombre,Oaxaca,Preparatoria o bachillerato,Urbana,45-59,No,No,50876.1,Preparatoria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Uno,Sí,1,2,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,Sí,En desacuerdo
105,37,Hombre,Coahuila,Licenciatura o Ingeniería,Urbana,35-44,No,No,46316.63,Licenciatura completa,Trabajó con pago,,Cónyuge o pareja,,40.0,Mujer,,Licenciatura completa,,4,2 o más,2 o más,Sí,2,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ninguna,No,De acuerdo
107,35,Hombre,Chihuahua,Licenciatura o Ingeniería,Urbana,35-44,No,No,50395.06,Licenciatura completa,Trabajó con pago,,Cónyuge o pareja,,35.0,Mujer,,Licenciatura completa,,3,2 o más,Uno,Sí,1,2,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ninguna,Sí,De acuerdo
