id_2,id_original,edad,sexo,entidad,escolaridad,zona,age_group,lengua_indigena,discapacidad,FE,educacion,ocupacion_semana_pasada,ocupacion_otra,relacion_jefe_hogar,relacion_jefe_otro,edad_jefe_hogar,sexo_jefe_hogar,sexo_jefe_otro,educacion_jefe_hogar,educacion_jefe_otro,personas_hogar,banos_completos,autos_hogar,internet_hogar,trabajaron_ultimo_mes,cuartos_dormir,discapacidad_largo_plazo,localidad_rural_urbana,localidad_otra,q_no_seguir_noticias,q_medios_verifican,q_redes_confiables,q_emergencia_redes,q_molestan_periodistas,q_coincide_no_busca,q_confio_abiertos,q_titular_enemigos,q_titular_ineficaces,q_discutir_redes,q_imposible_distinguir,q_comparte_desenmascarar,q_frase_voto1,q_frase_politicos,q_voto_insuficiente,q_otras_formas,q_politicos_preocupan,q_partidos_beneficio,q_acciones_cambio,q_redes_informarse,q_redes_emociones,q_ideologia,q_evita_hablar,q_gusto_hablar
OM1-0001,9,36,Hombre,Aguascalientes,Maestría o especialidad,Urbana,35-44,No,No,26965.12,Diplomado o maestría,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,2 o más,Sí,2,2,No,Urbana,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Votar no sirve para nada,No creo en la política ni en los políticos,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,No,De acuerdo
OM1-0002,9,71,Mujer,Chihuahua,Secundaria,Urbana,60+,No,Sí,109271.09,Secundaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,2 o más,2 o más,Sí,1,2,Sí,Urbana,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,No sabe/No responde,Ni de acuerdo ni en desacuerdo,Ninguna,Sí,En desacuerdo
OM1-0003,14,26,Mujer,Chihuahua,No sabe o no responde,Rural,25-34,No,No,56664.66,Licenciatura completa,Trabajó con pago,,No sabe/No responde,,0.0,No sabe/No responde,,No sabe/No responde,,5,Uno,Uno,Sí,2,2,No,Rural,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No sabe/No responde,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,No sabe/No responde,En desacuerdo,En desacuerdo,Centro,Sí,En desacuerdo
OM1-0004,14,66,Mujer,Coahuila,Preparatoria o bachillerato,Rural,60+,No,No,80066.82,Primaria incompleta,Vendía o hacía algún producto para vender,,Cónyuge o pareja,,67.0,Hombre,,Licenciatura incompleta,,3,Uno,Ninguno,No por falta de recursos,1,1,No,Rural,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Votar no sirve para nada,No creo en la política ni en los políticos,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Izquierda,Sí,En desacuerdo
OM1-0005,17,32,Hombre,Aguascalientes,Preparatoria o bachillerato,Rural,25-34,No,No,79871.64,Licenciatura completa,Trabajó con pago,,Padre o madre,,70.0,Hombre,,Licenciatura incompleta,,3,Uno,Uno,Sí,2,2,No,Rural,,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",Creo en la política y en los políticos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Derecha,No,De acuerdo
OM1-0006,19,35,Hombre,Aguascalientes,Carrera técnica o comercial,Urbana,35-44,No,No,78913.0,Carrera técnica,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,2 o más,Sí,2,2,No,Urbana,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Derecha,Sí,En desacuerdo
OM1-0007,20,19,Hombre,Coahuila,Preparatoria o bachillerato,Urbana,18-24,No,No,67395.51,Secundaria incompleta,Trabajó con pago,,Hijo o hija,,38.0,Mujer,,Preparatoria completa,,5,Uno,2 o más,Sí,5 o más,3,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Votar no sirve para nada,Creo en la política y en los políticos,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ninguna,No,En desacuerdo
OM1-0008,21,58,Hombre,Jalisco,Secundaria,Urbana,45-59,No,No,80101.41,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,8,2 o más,Uno,Sí,4,3,No,Urbana,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,No,De acuerdo
OM1-0009,22,61,Hombre,Aguascalientes,Secundaria,Urbana,60+,No,No,76402.21,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Uno,Sí,5 o más,3,No,Urbana,,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,No,De acuerdo
OM1-0010,28,35,Hombre,Oaxaca,Primaria,Rural,35-44,No,Sí,102738.04,Primaria completa,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Ninguno,Ninguno,No por falta de recursos,1,4,Sí,Rural,,No está de acuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Votar no sirve para nada,"Creo en la política, pero no en los políticos",En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No,En desacuerdo
OM1-0011,32,66,Mujer,Aguascalientes,No estudió/ Otro,Rural,60+,No,Sí,59867.26,Primaria incompleta,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,No sabe/No responde,No por falta de recursos,Ninguno,2,Sí,Rural,,No está de acuerdo,No sabe/No responde,No está de acuerdo,No sabe/No responde,No sabe/No responde,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No sabe/No responde,No está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",Creo en la política y en los políticos,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,No sabe/No responde,No sabe/No responde,Izquierda,No,No sabe/No responde
OM1-0012,33,48,Mujer,Jalisco,Maestría o especialidad,Urbana,45-59,No,No,27781.21,Diplomado o maestría,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,2,2,No,Urbana,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Izquierda,No,De acuerdo
OM1-0013,38,52,Hombre,Aguascalientes,Secundaria,Urbana,45-59,No,No,83930.04,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,6,Uno,Uno,Sí,2,3,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Centro,No,De acuerdo
OM1-0014,43,54,Mujer,Aguascalientes,Secundaria,Urbana,45-59,No,No,106407.11,Preparatoria incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,Uno,Sí,2,2,No,Urbana,,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Con el voto decido lo que pasa en el país,Creo en la política y en los políticos,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Izquierda,Sí,De acuerdo
OM1-0015,46,52,Hombre,Jalisco,Secundaria,Urbana,60+,No,Sí,72916.97,Secundaria completa,[Esp.] No podía buscar trabajo,,Hijo o hija,,74.0,Hombre,,Secundaria completa,,1,Uno,Ninguno,No por falta de recursos,Ninguno,1,Sí,Urbana,,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,No sabe/No responde,De acuerdo,Derecha,Sí,En desacuerdo
OM1-0016,46,47,Mujer,Chihuahua,Secundaria,Urbana,45-59,No,No,96199.15,Secundaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Ninguno,Sí,2,2,No,Urbana,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Centro,Sí,De acuerdo
OM1-0017,51,56,Mujer,Aguascalientes,Maestría o especialidad,Urbana,45-59,No,No,29109.08,Diplomado o maestría,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,2 o más,2 o más,Sí,2,3,No,Urbana,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Izquierda,Sí,En desacuerdo
OM1-0018,51,34,Hombre,Coahuila,Secundaria,Urbana,25-34,No,No,83242.26,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,2 o más,Sí,Ninguno,3,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Con el voto decido lo que pasa en el país,Creo en la política y en los políticos,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Centro,No,De acuerdo
OM1-0019,54,23,Mujer,Aguascalientes,Secundaria,Urbana,18-24,No,No,106463.64,Preparatoria completa,Trabajó con pago,,Hijo o hija,,45.0,Mujer,,Secundaria completa,,6,Uno,Ninguno,Sí,4,5 o más,No,Urbana,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No,De acuerdo
OM1-0020,55,25,Hombre,Oaxaca,Secundaria,Urbana,25-34,Sí,No,76171.46,Secundaria completa,Vendía o hacía algún producto para vender,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Ninguno,No por falta de recursos,1,2,No,Urbana,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No sabe/No responde,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Votar no sirve para nada,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,No sabe/No responde,No sabe/No responde,Derecha,Sí,En desacuerdo
OM1-0021,55,18,Hombre,Chihuahua,Preparatoria o bachillerato,Rural,18-24,No,No,73330.05,Preparatoria completa,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Uno,Sí,1,2,No,Rural,,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Derecha,Sí,En desacuerdo
OM1-0022,56,44,Mujer,Chihuahua,Carrera técnica o comercial,Urbana,35-44,No,No,67378.26,Licenciatura completa,Trabajó con pago,,Cónyuge o pareja,,49.0,Hombre,,Carrera técnica,,5,2 o más,2 o más,Sí,3,3,No,Urbana,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Con el voto decido lo que pasa en el país,Creo en la política y en los políticos,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Izquierda,No,De acuerdo
OM1-0023,57,39,Hombre,Chihuahua,Licenciatura o Ingeniería,Rural,35-44,No,No,50395.06,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,2 o más,Sí,2,2,No,Rural,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ninguna,Sí,En desacuerdo
OM1-0024,58,21,Hombre,Oaxaca,No estudió/ Otro,Rural,18-24,No,No,38314.73,Secundaria completa,Vendía o hacía algún producto para vender,,Padre o madre,,55.0,Mujer,,Primaria incompleta,,4,Uno,Ninguno,Sí,Ninguno,3,No,Rural,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No sabe/No responde,No sabe/No responde,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Con el voto decido lo que pasa en el país,No creo en la política ni en los políticos,No sabe/No responde,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,No sabe/No responde,No,No sabe/No responde
OM1-0025,60,24,Hombre,Oaxaca,Licenciatura o Ingeniería,Urbana,18-24,No,No,43744.53,Licenciatura completa,Trabajó con pago,,Hijo o hija,,54.0,Mujer,,Licenciatura completa,,4,2 o más,2 o más,Sí,4,4,No,Urbana,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,No,De acuerdo
OM1-0026,61,23,Hombre,Coahuila,Licenciatura o Ingeniería,Urbana,18-24,No,No,47805.22,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,Uno,Sí,2,3,No,Urbana,,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,Sí,De acuerdo
OM1-0027,64,57,Mujer,Oaxaca,No estudió/ Otro,No sabe/No responde,45-59,Sí,No,40073.14,No estudió,"[Esp.] Otra, especifique",campo,Cónyuge o pareja,,64.0,Hombre,,Primaria incompleta,,7,Ninguno,Ninguno,Sí,2,2,No,No sabe/No responde,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,De acuerdo
OM1-0028,66,58,Hombre,Chihuahua,Licenciatura o Ingeniería,Urbana,45-59,No,Sí,42910.22,Licenciatura completa,Era jubilado o pensionado(a) (Programa Adultos Mayores),,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,2 o más,Sí,Ninguno,5 o más,Sí,Urbana,,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No,Ni de acuerdo ni en desacuerdo
OM1-0029,71,39,Hombre,Oaxaca,Primaria,Rural,35-44,No,No,102738.04,Primaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,2 o más,"No, no lo quieren",1,1,No,Rural,,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,No,De acuerdo
OM1-0030,72,40,Mujer,Oaxaca,No sabe o no responde,Urbana,35-44,No,No,34050.19,Secundaria completa,Trabajó con pago,,"[Esp.] Otro, especifique",suegra,65.0,Mujer,,No sabe/No responde,,7,Uno,Ninguno,Sí,4,3,No,Urbana,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Izquierda,Sí,Ni de acuerdo ni en desacuerdo
OM1-0031,74,58,Mujer,Oaxaca,No sabe o no responde,Urbana,45-59,No,No,38920.19,No sabe/No responde,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Uno,Sí,1,2,No,Urbana,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Votar no sirve para nada,No creo en la política ni en los políticos,De acuerdo,No sabe/No responde,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Izquierda,Sí,De acuerdo
OM1-0032,76,34,Hombre,Oaxaca,Licenciatura o Ingeniería,Urbana,25-34,No,No,43075.97,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,2 o más,Ninguno,Sí,1,1,No,Urbana,,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,Sí,De acuerdo
OM1-0033,78,50,Hombre,Oaxaca,Licenciatura o Ingeniería,Urbana,45-59,No,No,36087.62,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,6,2 o más,2 o más,Sí,5 o más,3,No,Urbana,,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Izquierda,No,Ni de acuerdo ni en desacuerdo
OM1-0034,79,45,Mujer,Oaxaca,Primaria,Rural,45-59,Sí,No,110906.57,Primaria completa,No sabe/No responde,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Uno,Sí,2,2,No,Rural,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ninguna,Sí,En desacuerdo
OM1-0035,79,60,Hombre,Chihuahua,Primaria,Rural,60+,No,No,94688.04,Primaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Uno,"No, otra razón",1,3,No,Rural,,No sabe/No responde,No sabe/No responde,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Votar no sirve para nada,No sabe/No responde,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No sabe/No responde,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,Sí,En desacuerdo
